"City","Population","Transect","Plant","Lat.pop","Long.pop","HCN_Result","Locus.Li","Locus.Ac","Dmg.1","Dmg.2","Dmg.Avg","Distance"
"Atlanta","13","NA",5,33.57685,-84.559421,0,"0","0",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",6,33.57685,-84.559421,0,"0","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",7,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",8,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",9,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",10,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",11,33.57685,-84.559421,0,"0","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",12,33.57685,-84.559421,0,"0","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",13,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",14,33.57685,-84.559421,1,"1","1",NA,NA,NA,24.8625817770055
"Atlanta","13","NA",15,33.57685,-84.559421,0,"1","0",NA,NA,NA,24.8625817770055
"Atlanta","14","NA",1,33.583024,-84.549447,0,"0","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",2,33.583024,-84.549447,0,"0","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",3,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",4,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",5,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",6,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",7,33.583024,-84.549447,0,"0","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",8,33.583024,-84.549447,0,"1","0",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",9,33.583024,-84.549447,0,"1","0",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",10,33.583024,-84.549447,0,"0","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",11,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",12,33.583024,-84.549447,0,"0","0",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",13,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",14,33.583024,-84.549447,1,"1","1",NA,NA,NA,23.7461840982964
"Atlanta","14","NA",15,33.583024,-84.549447,0,"1","0",NA,NA,NA,23.7461840982964
"Atlanta","15","NA",1,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",2,33.595387,-84.546821,0,"0","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",3,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",4,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",5,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",6,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",7,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",8,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",9,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
